SEED#: 3329 | score: 805007570.9882799 | k: 28
SEED#: 3329 | score: 771228887.5500628 | k: 21
SEED#: 3329 | score: 805007570.9882799 | k: 31
SEED#: 3329 | score: 758517284.120223 | k: 17
SEED#: 3329 | score: 803757650.7924476 | k: 26
SEED#: 3329 | score: 754091752.3151813 | k: 15
SEED#: 3329 | score: 799334349.8218333 | k: 33
SEED#: 3329 | score: 805277423.2783315 | k: 32
SEED#: 3329 | score: 801506219.1047099 | k: 27
SEED#: 3329 | score: 793747784.5156294 | k: 24
SEED#: 3329 | score: 803156687.5318993 | k: 25
SEED#: 3329 | score: 764565336.4373305 | k: 18
SEED#: 3329 | score: 790680616.3734691 | k: 23
SEED#: 3329 | score: 779692842.4791201 | k: 22
SEED#: 3329 | score: 792166062.3896396 | k: 35
SEED#: 3329 | score: 764565336.4373305 | k: 19
SEED#: 3329 | score: 799866257.3371722 | k: 34
SEED#: 3329 | score: 805007570.9882799 | k: 30
SEED#: 3329 | score: 758517284.120223 | k: 16
SEED#: 3329 | score: 771228887.5500628 | k: 20
SEED#: 3329 | score: 805007570.9882799 | k: 29
SEED#: 4201 | score: 1004026594.6341851 | k: 18
SEED#: 4201 | score: 973734982.9512866 | k: 33
SEED#: 4201 | score: 1000710427.6348925 | k: 17
SEED#: 4201 | score: 998014760.9473898 | k: 15
SEED#: 4201 | score: 958138112.7689695 | k: 28
SEED#: 4201 | score: 961315439.0955303 | k: 30
SEED#: 4201 | score: 961315439.0955303 | k: 31
SEED#: 4201 | score: 986050726.2024816 | k: 22
SEED#: 4201 | score: 1000710427.6348925 | k: 16
SEED#: 4201 | score: 964370061.4736233 | k: 32
SEED#: 4201 | score: 981091992.0432816 | k: 25
SEED#: 4201 | score: 970808994.6281418 | k: 27
SEED#: 4201 | score: 963757390.6075002 | k: 34
SEED#: 4201 | score: 1004026594.6341851 | k: 19
SEED#: 4201 | score: 976170059.79033 | k: 35
SEED#: 4201 | score: 986980834.5816263 | k: 23
SEED#: 4201 | score: 970808994.6281418 | k: 26
SEED#: 4201 | score: 976443114.9151813 | k: 24
SEED#: 4201 | score: 994678343.2272457 | k: 21
SEED#: 4201 | score: 958138112.7689695 | k: 29
SEED#: 4201 | score: 996326755.1808964 | k: 20
SEED#: 8761 | score: 811087588.1553305 | k: 29
SEED#: 8761 | score: 859286281.8231272 | k: 15
SEED#: 8761 | score: 796972617.9773977 | k: 31
SEED#: 8761 | score: 840938116.998745 | k: 20
SEED#: 8761 | score: 846077827.7632166 | k: 16
SEED#: 8761 | score: 839602083.1250044 | k: 22
SEED#: 8761 | score: 840938116.998745 | k: 21
SEED#: 8761 | score: 818006014.1983879 | k: 26
SEED#: 8761 | score: 797997322.7528523 | k: 33
SEED#: 8761 | score: 797793067.2426106 | k: 32
SEED#: 8761 | score: 844676868.7212244 | k: 17
SEED#: 8761 | score: 819065829.7608825 | k: 27
SEED#: 8761 | score: 827404627.1047117 | k: 24
SEED#: 8761 | score: 839602083.1250044 | k: 23
SEED#: 8761 | score: 839220743.6240536 | k: 19
SEED#: 8761 | score: 796447131.2248979 | k: 30
SEED#: 8761 | score: 837268167.9587253 | k: 18
SEED#: 8761 | score: 815673219.3718345 | k: 28
SEED#: 8761 | score: 794942133.5819992 | k: 34
SEED#: 8761 | score: 792784332.3761199 | k: 35
SEED#: 8761 | score: 826950544.1023016 | k: 25
SEED#: 2663 | score: 851724981.8350369 | k: 35
SEED#: 2663 | score: 857607968.9509779 | k: 23
SEED#: 2663 | score: 860074958.431313 | k: 24
SEED#: 2663 | score: 873584864.4278888 | k: 30
SEED#: 2663 | score: 863264375.632829 | k: 21
SEED#: 2663 | score: 859592514.6616546 | k: 18
SEED#: 2663 | score: 847836580.4839242 | k: 15
SEED#: 2663 | score: 868273050.06127 | k: 33
SEED#: 2663 | score: 856764802.3978314 | k: 22
SEED#: 2663 | score: 871973950.3142081 | k: 29
SEED#: 2663 | score: 861684844.0111811 | k: 34
SEED#: 2663 | score: 850064537.9039409 | k: 16
SEED#: 2663 | score: 876320256.7342304 | k: 28
SEED#: 2663 | score: 869311636.8084536 | k: 26
SEED#: 2663 | score: 872510302.6609725 | k: 32
SEED#: 2663 | score: 859592514.6616546 | k: 19
SEED#: 2663 | score: 866062451.4235374 | k: 25
SEED#: 2663 | score: 875572645.6109908 | k: 27
SEED#: 2663 | score: 850122844.3942014 | k: 17
SEED#: 2663 | score: 873071669.0045936 | k: 31
SEED#: 2663 | score: 862358526.8596661 | k: 20
SEED#: 4507 | score: 849015173.0727245 | k: 31
SEED#: 4507 | score: 886790800.5816529 | k: 23
SEED#: 4507 | score: 884417986.7346387 | k: 24
SEED#: 4507 | score: 861819850.0329996 | k: 26
SEED#: 4507 | score: 847525472.7603393 | k: 34
SEED#: 4507 | score: 892533073.7014915 | k: 17
SEED#: 4507 | score: 892533073.7014915 | k: 16
SEED#: 4507 | score: 876696050.5085435 | k: 22
SEED#: 4507 | score: 860808581.4579368 | k: 27
SEED#: 4507 | score: 896176755.7808766 | k: 19
SEED#: 4507 | score: 892702740.1749984 | k: 21
SEED#: 4507 | score: 860771383.6845661 | k: 28
SEED#: 4507 | score: 895097620.3647637 | k: 20
SEED#: 4507 | score: 847826088.3590276 | k: 33
SEED#: 4507 | score: 849159763.1936288 | k: 32
SEED#: 4507 | score: 877440404.6320454 | k: 25
SEED#: 4507 | score: 889377342.1684421 | k: 15
SEED#: 4507 | score: 837712503.0331657 | k: 35
SEED#: 4507 | score: 849015173.0727245 | k: 30
SEED#: 4507 | score: 858381839.4278872 | k: 29
SEED#: 4507 | score: 894987375.5727732 | k: 18
SEED#: 6247 | score: 813806743.393493 | k: 23
SEED#: 6247 | score: 815072832.2860851 | k: 33
SEED#: 6247 | score: 814986748.517735 | k: 32
SEED#: 6247 | score: 829723950.2325275 | k: 19
SEED#: 6247 | score: 813295113.9445086 | k: 31
SEED#: 6247 | score: 846993064.4231952 | k: 17
SEED#: 6247 | score: 824315183.2275999 | k: 20
SEED#: 6247 | score: 812830523.8478492 | k: 28
SEED#: 6247 | score: 846578571.6173891 | k: 16
SEED#: 6247 | score: 795032995.1003885 | k: 35
SEED#: 6247 | score: 810404574.8318566 | k: 27
SEED#: 6247 | score: 809533924.1550862 | k: 25
SEED#: 6247 | score: 818651053.1367434 | k: 22
SEED#: 6247 | score: 842853757.9157822 | k: 15
SEED#: 6247 | score: 809368342.1814404 | k: 24
SEED#: 6247 | score: 836374954.4946574 | k: 18
SEED#: 6247 | score: 800204454.4369707 | k: 34
SEED#: 6247 | score: 821942098.9663304 | k: 21
SEED#: 6247 | score: 812857209.2188413 | k: 29
SEED#: 6247 | score: 809926096.6700063 | k: 26
SEED#: 6247 | score: 813000059.7857126 | k: 30
SEED#: 2281 | score: 836115372.7277519 | k: 23
SEED#: 2281 | score: 837358690.5077899 | k: 24
SEED#: 2281 | score: 845889388.2505463 | k: 25
SEED#: 2281 | score: 845889388.2505463 | k: 26
SEED#: 2281 | score: 816541125.9014463 | k: 18
SEED#: 2281 | score: 833835033.6280494 | k: 21
SEED#: 2281 | score: 826157820.0849735 | k: 33
SEED#: 2281 | score: 845830582.7320788 | k: 30
SEED#: 2281 | score: 830362008.4477628 | k: 20
SEED#: 2281 | score: 826157820.0849735 | k: 34
SEED#: 2281 | score: 816541125.9014463 | k: 17
SEED#: 2281 | score: 826157820.0849735 | k: 35
SEED#: 2281 | score: 845809058.7154714 | k: 29
SEED#: 2281 | score: 845830582.7320788 | k: 31
SEED#: 2281 | score: 816875530.8882217 | k: 19
SEED#: 2281 | score: 833835033.6280494 | k: 22
SEED#: 2281 | score: 814696238.319322 | k: 15
SEED#: 2281 | score: 816541125.9014463 | k: 16
SEED#: 2281 | score: 829453212.8270543 | k: 32
SEED#: 2281 | score: 845809058.7154714 | k: 27
SEED#: 2281 | score: 845809058.7154714 | k: 28
SEED#: 4363 | score: 828915418.3467773 | k: 21
SEED#: 4363 | score: 798080102.9093876 | k: 32
SEED#: 4363 | score: 796340983.4129108 | k: 33
SEED#: 4363 | score: 804501223.034071 | k: 26
SEED#: 4363 | score: 825468502.2379094 | k: 18
SEED#: 4363 | score: 797126438.0569451 | k: 30
SEED#: 4363 | score: 828982566.9107078 | k: 16
SEED#: 4363 | score: 803450565.5360084 | k: 27
SEED#: 4363 | score: 795253406.7643424 | k: 35
SEED#: 4363 | score: 796023487.7573884 | k: 28
SEED#: 4363 | score: 830431658.6523582 | k: 17
SEED#: 4363 | score: 823836994.4320961 | k: 23
SEED#: 4363 | score: 828158560.3247746 | k: 20
SEED#: 4363 | score: 795616715.2396332 | k: 31
SEED#: 4363 | score: 825468502.2379094 | k: 19
SEED#: 4363 | score: 822577771.9793618 | k: 22
SEED#: 4363 | score: 824918929.2810417 | k: 15
SEED#: 4363 | score: 813696185.6717708 | k: 25
SEED#: 4363 | score: 797328571.8766118 | k: 34
SEED#: 4363 | score: 817292513.3071666 | k: 24
SEED#: 4363 | score: 794709913.5073048 | k: 29
SEED#: 5693 | score: 894863804.3472233 | k: 35
SEED#: 5693 | score: 892405458.5296632 | k: 24
SEED#: 5693 | score: 893705993.1399219 | k: 25
SEED#: 5693 | score: 897334894.6934345 | k: 33
SEED#: 5693 | score: 896165546.8545299 | k: 29
SEED#: 5693 | score: 900795466.9457893 | k: 15
SEED#: 5693 | score: 894953494.3776426 | k: 27
SEED#: 5693 | score: 885747048.5528605 | k: 21
SEED#: 5693 | score: 890704231.75181 | k: 22
SEED#: 5693 | score: 897544860.0438154 | k: 16
SEED#: 5693 | score: 895403062.829852 | k: 28
SEED#: 5693 | score: 892405458.5296632 | k: 23
SEED#: 5693 | score: 880345432.375171 | k: 19
SEED#: 5693 | score: 894356909.852973 | k: 17
SEED#: 5693 | score: 897334894.6934345 | k: 32
SEED#: 5693 | score: 884012551.9689808 | k: 20
SEED#: 5693 | score: 894863804.3472233 | k: 34
SEED#: 5693 | score: 893613213.6848519 | k: 26
SEED#: 5693 | score: 893192830.3368816 | k: 31
SEED#: 5693 | score: 878511055.0042555 | k: 18
SEED#: 5693 | score: 893073650.27125 | k: 30

2311: {708638458.2891467: 31, 709718494.5954888: 33, 711608573.6679261: 32, 709953313.7168217: 28, 710249707.9562633: 30}
3329: {805007570.9882799: 29, 803757650.7924476: 26, 805277423.2783315: 32, 803156687.5318993: 25}
4201: {1004026594.6341851: 19, 1000710427.6348925: 16, 998014760.9473898: 15, 994678343.2272457: 21, 996326755.1808964: 20}
8761: {859286281.8231272: 15, 840938116.998745: 21, 846077827.7632166: 16, 839602083.1250044: 22, 844676868.7212244: 17}
2663: {873584864.4278888: 30, 876320256.7342304: 28, 872510302.6609725: 32, 875572645.6109908: 27, 873071669.0045936: 31}
4507: {892533073.7014915: 16, 896176755.7808766: 19, 892702740.1749984: 21, 895097620.3647637: 20, 894987375.5727732: 18}
6247: {829723950.2325275: 19, 846993064.4231952: 17, 846578571.6173891: 16, 842853757.9157822: 15, 836374954.4946574: 18}
2281: {837358690.5077899: 24, 845889388.2505463: 26, 845830582.7320788: 31, 845809058.7154714: 28}
4363: {828915418.3467773: 21, 825468502.2379094: 18, 828982566.9107078: 16, 830431658.6523582: 17, 828158560.3247746: 20}
5693: {897334894.6934345: 32, 896165546.8545299: 29, 900795466.9457893: 15, 897544860.0438154: 16, 894863804.3472233: 34}

SEED#: 2311 | score: 713051217.3974993 | p: 0.27
